Date,KW
2020-06-01 06:15:00.000Z,318.2
2020-06-02 05:35:00.000Z,295.7
2020-06-02 18:36:00.000Z,280.5
2020-06-03 06:37:00.000Z,270.3
2020-06-03 06:43:00.000Z,270.2
2020-06-03 18:34:00.000Z,257.1
2020-06-04 06:43:00.000Z,247.7
2020-06-05 06:13:00.000Z,226.8
2020-06-06 16:02:00.000Z,195.9
2020-06-07 08:48:00.000Z,184.0
2020-06-07 08:49:00.000Z,387.0
2020-06-08 05:43:00.000Z,368.2
2020-06-08 21:15:00.000Z,351.1
2020-06-09 19:51:00.000Z,336.1
2020-06-10 07:59:00.000Z,326.3
2020-06-11 21:06:00.000Z,292.7
2020-06-13 04:49:00.000Z,250.9
2020-06-13 19:59:00.000Z,232.9
2020-06-14 09:07:00.000Z,227.3
2020-06-15 06:50:00.000Z,209.8
2020-06-15 11:17:00.000Z,204.2
2020-06-15 11:18:00.000Z,407.2
2020-06-17 04:56:00.000Z,372.9
2020-06-18 07:31:00.000Z,345.3
2020-06-19 07:25:00.000Z,320.9
2020-06-19 14:54:00.000Z,311.6
2020-06-20 20:13:00.000Z,281.9
2020-06-22 09:40:00.000Z,248.4
2020-06-23 09:53:00.000Z,226.8
2020-06-25 08:34:00.000Z,181.2
2020-06-26 07:40:00.000Z,162.6
2020-06-27 21:23:00.000Z,125.1
2020-06-29 05:51:00.000Z,98.3
2020-06-29 08:12:00.000Z,92.3
2020-06-29 08:14:00.000Z,295.3
2020-06-30 10:59:00.000Z,272.6
2020-07-02 05:28:00.000Z,233.2
2020-07-03 05:50:00.000Z,210.7
2020-07-04 18:52:00.000Z,178.0
2020-07-04 18:53:00.000Z,297.4
2020-07-05 21:48:00.000Z,275.8
2020-07-10 09:40:00.000Z,179.6
2020-07-12 08:29:00.000Z,141.1
2020-07-12 08:31:00.000Z,140.6
2020-07-12 08:32:00.000Z,331.7
2020-07-14 06:03:00.000Z,289.8
2020-07-20 09:52:00.000Z,155.4
2020-07-20 12:16:00.000Z,153.0
2020-07-20 12:17:00.000Z,344.0
2020-07-23 09:19:00.000Z,288.9
2020-07-23 21:59:00.000Z,278.9
2020-07-24 12:50:00.000Z,265.4
2020-07-25 21:54:00.000Z,235.5
2020-07-26 07:33:00.000Z,231.3
2020-07-26 07:34:00.000Z,350.7
2020-07-27 09:45:00.000Z,322.1
2020-08-01 09:29:00.000Z,217.0
2020-08-01 09:30:00.000Z,336.4
2020-08-02 13:52:00.000Z,314.0
2020-08-02 21:56:00.000Z,306.9
2020-08-04 19:40:00.000Z,276.2
2020-08-07 10:02:00.000Z,230.2
2020-08-08 06:18:00.000Z,215.4
2020-08-08 16:42:00.000Z,204.9
2020-08-08 21:21:00.000Z,199.8
2020-08-10 05:50:00.000Z,172.6
2020-08-10 06:38:00.000Z,172.4
2020-08-10 19:03:00.000Z,292.9
2020-08-11 06:15:00.000Z,285.5
2020-08-12 13:26:00.000Z,259.1
2020-08-12 21:54:00.000Z,248.1
2020-08-15 12:31:00.000Z,194.1
2020-08-15 21:25:00.000Z,181.2
2020-08-16 18:20:00.000Z,161.9
2020-08-16 18:22:00.000Z,281.0
2020-08-18 06:31:00.000Z,248.3
2020-08-21 09:21:00.000Z,191.9
2020-08-22 06:15:00.000Z,172.7
2020-08-22 16:03:00.000Z,157.6
2020-08-23 09:44:00.000Z,260.4
2020-08-26 04:42:00.000Z,208.0
2020-08-28 07:54:00.000Z,161.8
2020-08-28 07:55:00.000Z,281.1
2020-08-31 09:20:00.000Z,219.3
2020-09-01 05:38:00.000Z,204.0
2020-09-01 21:02:00.000Z,190.8
2020-09-04 06:41:00.000Z,150.9
2020-09-04 09:20:00.000Z,144.6
2020-09-05 05:33:00.000Z,122.7
2020-09-05 05:34:00.000Z,242.0
2020-09-05 21:46:00.000Z,226.9
2020-09-06 14:24:00.000Z,214.7
2020-09-08 13:49:00.000Z,179.5
2020-09-09 10:53:00.000Z,159.9
2020-09-11 08:57:00.000Z,121.3
2020-09-11 10:12:00.000Z,119.9
2020-09-11 10:15:00.000Z,119.6
2020-09-11 10:16:00.000Z,253.3
2020-09-13 14:59:00.000Z,201.3
2020-09-15 14:48:00.000Z,159.0
2020-09-16 06:54:00.000Z,147.9
2020-09-17 10:27:00.000Z,130.2
2020-09-17 15:18:00.000Z,127.7
2020-09-18 15:11:00.000Z,103.0
2020-09-19 05:44:00.000Z,95.1
2020-09-19 05:50:00.000Z,95.0
2020-09-19 05:51:00.000Z,228.7
2020-09-20 07:46:00.000Z,208.4
2020-09-22 05:21:00.000Z,176.9
2020-09-23 05:43:00.000Z,160.5
2020-09-25 06:21:00.000Z,121.7
2020-09-25 14:40:00.000Z,115.9
2020-09-25 14:41:00.000Z,249.6
2020-09-26 08:00:00.000Z,239.4
2020-09-29 13:55:00.000Z,178.4
2020-09-29 21:09:00.000Z,168.1
2020-10-04 18:16:00.000Z,77.5
2020-10-04 18:18:00.000Z,77.4
